cellLine	randomSeed	parameterTested	boolFeatureSelection	accuracy	sensitivity	specificity	mcc
PC3	0	6	False	0.663157894737	0.691860465116	0.388888888889	0.0508735719277
PC3	1	6	False	0.663157894737	0.691860465116	0.388888888889	0.0508735719277
PC3	2	6	False	0.663157894737	0.691860465116	0.388888888889	0.0508735719277
PC3	3	6	False	0.663157894737	0.691860465116	0.388888888889	0.0508735719277
PC3	4	6	False	0.663157894737	0.691860465116	0.388888888889	0.0508735719277
PC3	0	11	False	0.663157894737	0.691860465116	0.388888888889	0.0508735719277
PC3	1	11	False	0.663157894737	0.691860465116	0.388888888889	0.0508735719277
PC3	2	11	False	0.663157894737	0.691860465116	0.388888888889	0.0508735719277
PC3	3	11	False	0.663157894737	0.691860465116	0.388888888889	0.0508735719277
PC3	4	11	False	0.663157894737	0.691860465116	0.388888888889	0.0508735719277
PC3	0	16	False	0.663157894737	0.691860465116	0.388888888889	0.0508735719277
PC3	1	16	False	0.663157894737	0.691860465116	0.388888888889	0.0508735719277
PC3	2	16	False	0.663157894737	0.691860465116	0.388888888889	0.0508735719277
PC3	3	16	False	0.663157894737	0.691860465116	0.388888888889	0.0508735719277
PC3	4	16	False	0.663157894737	0.691860465116	0.388888888889	0.0508735719277
PC3	0	21	False	0.663157894737	0.691860465116	0.388888888889	0.0508735719277
PC3	1	21	False	0.663157894737	0.691860465116	0.388888888889	0.0508735719277
PC3	2	21	False	0.663157894737	0.691860465116	0.388888888889	0.0508735719277
PC3	3	21	False	0.663157894737	0.691860465116	0.388888888889	0.0508735719277
PC3	4	21	False	0.663157894737	0.691860465116	0.388888888889	0.0508735719277
PC3	0	26	False	0.663157894737	0.691860465116	0.388888888889	0.0508735719277
PC3	1	26	False	0.663157894737	0.691860465116	0.388888888889	0.0508735719277
PC3	2	26	False	0.663157894737	0.691860465116	0.388888888889	0.0508735719277
PC3	3	26	False	0.663157894737	0.691860465116	0.388888888889	0.0508735719277
PC3	4	26	False	0.663157894737	0.691860465116	0.388888888889	0.0508735719277
PC3	0	31	False	0.663157894737	0.691860465116	0.388888888889	0.0508735719277
PC3	1	31	False	0.663157894737	0.691860465116	0.388888888889	0.0508735719277
PC3	2	31	False	0.663157894737	0.691860465116	0.388888888889	0.0508735719277
PC3	3	31	False	0.663157894737	0.691860465116	0.388888888889	0.0508735719277
PC3	4	31	False	0.663157894737	0.691860465116	0.388888888889	0.0508735719277
PC3	0	36	False	0.663157894737	0.691860465116	0.388888888889	0.0508735719277
PC3	1	36	False	0.663157894737	0.691860465116	0.388888888889	0.0508735719277
PC3	2	36	False	0.663157894737	0.691860465116	0.388888888889	0.0508735719277
PC3	3	36	False	0.663157894737	0.691860465116	0.388888888889	0.0508735719277
PC3	4	36	False	0.663157894737	0.691860465116	0.388888888889	0.0508735719277
PC3	0	41	False	0.663157894737	0.691860465116	0.388888888889	0.0508735719277
PC3	1	41	False	0.663157894737	0.691860465116	0.388888888889	0.0508735719277
PC3	2	41	False	0.663157894737	0.691860465116	0.388888888889	0.0508735719277
PC3	3	41	False	0.663157894737	0.691860465116	0.388888888889	0.0508735719277
PC3	4	41	False	0.663157894737	0.691860465116	0.388888888889	0.0508735719277
PC3	0	46	False	0.663157894737	0.691860465116	0.388888888889	0.0508735719277
PC3	1	46	False	0.663157894737	0.691860465116	0.388888888889	0.0508735719277
PC3	2	46	False	0.663157894737	0.691860465116	0.388888888889	0.0508735719277
PC3	3	46	False	0.663157894737	0.691860465116	0.388888888889	0.0508735719277
PC3	4	46	False	0.663157894737	0.691860465116	0.388888888889	0.0508735719277
PC3	0	51	False	0.663157894737	0.691860465116	0.388888888889	0.0508735719277
PC3	1	51	False	0.663157894737	0.691860465116	0.388888888889	0.0508735719277
PC3	2	51	False	0.663157894737	0.691860465116	0.388888888889	0.0508735719277
PC3	3	51	False	0.663157894737	0.691860465116	0.388888888889	0.0508735719277
PC3	4	51	False	0.663157894737	0.691860465116	0.388888888889	0.0508735719277
PC3	0	56	False	0.663157894737	0.691860465116	0.388888888889	0.0508735719277
PC3	1	56	False	0.663157894737	0.691860465116	0.388888888889	0.0508735719277
PC3	2	56	False	0.663157894737	0.691860465116	0.388888888889	0.0508735719277
PC3	3	56	False	0.663157894737	0.691860465116	0.388888888889	0.0508735719277
PC3	4	56	False	0.663157894737	0.691860465116	0.388888888889	0.0508735719277
PC3	0	61	False	0.663157894737	0.691860465116	0.388888888889	0.0508735719277
PC3	1	61	False	0.663157894737	0.691860465116	0.388888888889	0.0508735719277
PC3	2	61	False	0.663157894737	0.691860465116	0.388888888889	0.0508735719277
PC3	3	61	False	0.663157894737	0.691860465116	0.388888888889	0.0508735719277
PC3	4	61	False	0.663157894737	0.691860465116	0.388888888889	0.0508735719277
PC3	0	66	False	0.663157894737	0.691860465116	0.388888888889	0.0508735719277
PC3	1	66	False	0.663157894737	0.691860465116	0.388888888889	0.0508735719277
PC3	2	66	False	0.663157894737	0.691860465116	0.388888888889	0.0508735719277
PC3	3	66	False	0.663157894737	0.691860465116	0.388888888889	0.0508735719277
PC3	4	66	False	0.663157894737	0.691860465116	0.388888888889	0.0508735719277
PC3	0	71	False	0.663157894737	0.691860465116	0.388888888889	0.0508735719277
PC3	1	71	False	0.663157894737	0.691860465116	0.388888888889	0.0508735719277
PC3	2	71	False	0.663157894737	0.691860465116	0.388888888889	0.0508735719277
PC3	3	71	False	0.663157894737	0.691860465116	0.388888888889	0.0508735719277
PC3	4	71	False	0.663157894737	0.691860465116	0.388888888889	0.0508735719277
PC3	0	76	False	0.663157894737	0.691860465116	0.388888888889	0.0508735719277
PC3	1	76	False	0.663157894737	0.691860465116	0.388888888889	0.0508735719277
PC3	2	76	False	0.663157894737	0.691860465116	0.388888888889	0.0508735719277
